datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,AUD,USD_AUD,,AUD,1.3833,1.3961,1.3825,1.3908,,0.38%
2017-01-03,AUD,MSCI,MSCI Australia,MSCI,1146.56,1160.83,1146.56,1159.94,,1.20%
2017-01-03,AUD,USD_AUD,,AUD,1.3915,1.3931,1.3806,1.3837,,-0.51%
2017-01-04,AUD,MSCI,MSCI Australia,MSCI,1160.24,1162.0,1159.11,1161.24,,0.11%
2017-01-04,AUD,USD_AUD,,AUD,1.385,1.387,1.3719,1.3721,,-0.84%
2017-01-05,AUD,MSCI,MSCI Australia,MSCI,1161.38,1166.19,1161.24,1164.92,,0.32%
2017-01-05,AUD,USD_AUD,,AUD,1.3731,1.3756,1.359,1.3626,,-0.69%
2017-01-06,AUD,MSCI,MSCI Australia,MSCI,1164.45,1166.94,1163.16,1165.09,,0.01%
2017-01-06,AUD,USD_AUD,,AUD,1.3628,1.3724,1.359,1.3689,,0.46%
2017-01-09,AUD,MSCI,MSCI Australia,MSCI,1164.62,1180.18,1164.62,1176.07,,0.94%
2017-01-09,AUD,USD_AUD,,AUD,1.371,1.3725,1.3558,1.3594,,-0.69%
2017-01-10,AUD,MSCI,MSCI Australia,MSCI,1174.0,1174.07,1163.93,1167.34,,-0.74%
2017-01-10,AUD,USD_AUD,,AUD,1.36,1.3642,1.3539,1.3569,,-0.18%
2017-01-11,AUD,MSCI,MSCI Australia,MSCI,1169.6,1173.22,1167.58,1169.11,,0.15%
2017-01-11,AUD,USD_AUD,,AUD,1.3571,1.3603,1.3381,1.3437,,-0.97%
2017-01-12,AUD,MSCI,MSCI Australia,MSCI,1170.52,1174.93,1165.66,1167.61,,-0.13%
2017-01-12,AUD,USD_AUD,,AUD,1.3439,1.3462,1.3297,1.3356,,-0.60%
2017-01-13,AUD,USD_AUD,,AUD,1.3364,1.3426,1.3315,1.3324,,-0.24%
2017-01-13,AUD,MSCI,MSCI Australia,MSCI,1167.55,1168.27,1155.74,1158.44,,-0.79%
2017-01-16,AUD,MSCI,MSCI Australia,MSCI,1160.08,1167.33,1159.99,1163.94,,0.47%
2017-01-16,AUD,USD_AUD,,AUD,1.3344,1.3411,1.3315,1.3369,,0.34%
2017-01-17,AUD,MSCI,MSCI Australia,MSCI,1162.35,1162.35,1152.66,1153.8,,-0.87%
2017-01-17,AUD,USD_AUD,,AUD,1.3376,1.3399,1.3207,1.3214,,-1.16%
2017-01-18,AUD,USD_AUD,,AUD,1.3216,1.3333,1.3209,1.3321,,0.81%
2017-01-18,AUD,MSCI,MSCI Australia,MSCI,1151.82,1151.82,1144.88,1149.7,,-0.36%
2017-01-19,AUD,USD_AUD,,AUD,1.3324,1.3348,1.3201,1.3219,,-0.77%
2017-01-19,AUD,MSCI,MSCI Australia,MSCI,1150.88,1159.25,1148.93,1152.77,,0.27%
2017-01-20,AUD,USD_AUD,,AUD,1.3224,1.3305,1.3175,1.3231,,0.09%
2017-01-20,AUD,MSCI,MSCI Australia,MSCI,1150.68,1150.97,1143.17,1144.7,,-0.70%
2017-01-23,AUD,MSCI,MSCI Australia,MSCI,1143.53,1150.91,1134.4,1135.86,,-0.77%
2017-01-23,AUD,USD_AUD,,AUD,1.3228,1.3259,1.3173,1.318,,-0.39%
2017-01-24,AUD,MSCI,MSCI Australia,MSCI,1136.94,1144.14,1135.89,1143.24,,0.65%
2017-01-24,AUD,USD_AUD,,AUD,1.3188,1.3245,1.3139,1.3184,,0.03%
2017-01-25,AUD,MSCI,MSCI Australia,MSCI,1146.11,1151.89,1146.11,1148.08,,0.42%
2017-01-25,AUD,USD_AUD,,AUD,1.3191,1.331,1.3157,1.3201,,0.13%
2017-01-26,AUD,USD_AUD,,AUD,1.3207,1.3299,1.3181,1.327,,0.52%
2017-01-27,AUD,USD_AUD,,AUD,1.3271,1.3316,1.3203,1.3233,,-0.28%
2017-01-27,AUD,MSCI,MSCI Australia,MSCI,1147.12,1158.03,1147.12,1157.36,,0.81%
2017-01-30,AUD,MSCI,MSCI Australia,MSCI,1156.2,1156.37,1143.31,1147.53,,-0.85%
2017-01-30,AUD,USD_AUD,,AUD,1.3261,1.3289,1.3212,1.3229,,-0.03%
2017-01-31,AUD,MSCI,MSCI Australia,MSCI,1145.54,1145.9,1136.54,1139.94,,-0.66%
2017-01-31,AUD,USD_AUD,,AUD,1.3236,1.3262,1.3144,1.318,,-0.37%
2017-02-01,AUD,MSCI,MSCI Australia,MSCI,1141.47,1147.63,1138.3,1147.49,,0.66%
2017-02-01,AUD,USD_AUD,,AUD,1.3182,1.3247,1.316,1.3179,,-0.01%
2017-02-02,AUD,MSCI,MSCI Australia,MSCI,1148.36,1150.64,1142.27,1145.55,,-0.17%
2017-02-02,AUD,USD_AUD,,AUD,1.3183,1.3203,1.299,1.3055,,-0.94%
2017-02-03,AUD,MSCI,MSCI Australia,MSCI,1144.18,1148.76,1138.97,1139.93,,-0.49%
2017-02-03,AUD,USD_AUD,,AUD,1.3059,1.3125,1.2991,1.3014,,-0.31%
2017-02-06,AUD,MSCI,MSCI Australia,MSCI,1138.89,1147.31,1136.97,1138.27,,-0.15%
2017-02-06,AUD,USD_AUD,,AUD,1.3037,1.3111,1.3003,1.3051,,0.28%
2017-02-07,AUD,USD_AUD,,AUD,1.3055,1.315,1.3016,1.3113,,0.48%
2017-02-07,AUD,MSCI,MSCI Australia,MSCI,1138.12,1139.26,1131.09,1139.24,,0.09%
2017-02-08,AUD,USD_AUD,,AUD,1.311,1.3143,1.3041,1.308,,-0.25%
2017-02-08,AUD,MSCI,MSCI Australia,MSCI,1138.59,1146.07,1138.59,1145.05,,0.51%
2017-02-09,AUD,MSCI,MSCI Australia,MSCI,1145.1,1149.06,1141.07,1147.5,,0.21%
2017-02-09,AUD,USD_AUD,,AUD,1.3081,1.3144,1.3044,1.3111,,0.24%
2017-02-10,AUD,USD_AUD,,AUD,1.3116,1.3129,1.3002,1.3016,,-0.72%
2017-02-10,AUD,MSCI,MSCI Australia,MSCI,1149.57,1159.14,1149.51,1158.57,,0.96%
2017-02-13,AUD,MSCI,MSCI Australia,MSCI,1160.14,1167.26,1159.82,1166.52,,0.69%
2017-02-13,AUD,USD_AUD,,AUD,1.3022,1.3108,1.3005,1.3087,,0.55%
2017-02-14,AUD,MSCI,MSCI Australia,MSCI,1167.58,1173.49,1164.45,1164.67,,-0.16%
2017-02-14,AUD,USD_AUD,,AUD,1.3095,1.3129,1.299,1.3041,,-0.35%
2017-02-15,AUD,USD_AUD,,AUD,1.3049,1.3099,1.295,1.2967,,-0.57%
2017-02-15,AUD,MSCI,MSCI Australia,MSCI,1167.4,1179.47,1167.1,1177.64,,1.11%
2017-02-16,AUD,USD_AUD,,AUD,1.2971,1.3017,1.2929,1.2992,,0.19%
2017-02-16,AUD,MSCI,MSCI Australia,MSCI,1178.71,1184.75,1175.53,1182.08,,0.38%
2017-02-17,AUD,MSCI,MSCI Australia,MSCI,1182.23,1182.78,1179.14,1181.15,,-0.08%
2017-02-17,AUD,USD_AUD,,AUD,1.3,1.3066,1.2962,1.3031,,0.30%
2017-02-20,AUD,USD_AUD,,AUD,1.3045,1.306,1.2998,1.3001,,-0.23%
2017-02-20,AUD,MSCI,MSCI Australia,MSCI,1179.46,1181.28,1175.28,1178.87,,-0.19%
2017-02-21,AUD,MSCI,MSCI Australia,MSCI,1178.41,1178.78,1174.28,1177.99,,-0.07%
2017-02-21,AUD,USD_AUD,,AUD,1.3008,1.3076,1.3,1.3026,,0.19%
2017-02-22,AUD,USD_AUD,,AUD,1.3028,1.3045,1.2959,1.298,,-0.35%
2017-02-22,AUD,MSCI,MSCI Australia,MSCI,1178.63,1181.07,1175.54,1181.07,,0.26%
2017-02-23,AUD,MSCI,MSCI Australia,MSCI,1178.79,1179.02,1171.71,1176.32,,-0.40%
2017-02-23,AUD,USD_AUD,,AUD,1.2983,1.3048,1.2915,1.2957,,-0.18%
2017-02-24,AUD,USD_AUD,,AUD,1.2961,1.3049,1.2949,1.3023,,0.51%
2017-02-24,AUD,MSCI,MSCI Australia,MSCI,1176.24,1176.24,1164.5,1166.63,,-0.82%
2017-02-27,AUD,MSCI,MSCI Australia,MSCI,1165.01,1167.54,1159.46,1162.31,,-0.37%
2017-02-27,AUD,USD_AUD,,AUD,1.304,1.3053,1.2971,1.3028,,0.04%
2017-02-28,AUD,MSCI,MSCI Australia,MSCI,1163.22,1170.12,1160.05,1160.05,,-0.19%
2017-02-28,AUD,USD_AUD,,AUD,1.3033,1.3082,1.2993,1.3057,,0.22%
2017-03-01,AUD,USD_AUD,,AUD,1.306,1.3098,1.2984,1.3024,,-0.25%
